EP Name,Priority,Obs Time,RA,Dec,r_err,o_RA,o_Dec,Sx,Redshift,Classification,GCNs,GRB,Fermi,Swift,LCO,LCO active,comments
EP251212a,1,2025-12-12 06:12:52,134.049,-23.2997,10'',,,9.3,,GRB,EP251212a,1,no cover,no cover,,,
EP251214b,1,2025-12-14 07:20:22,144.388,-22.872,3',,,7,,,EP251214b,0,no detection,no cover,,,
EP251220a,0,2025-12-20 08:26:43,17.316,19.0935,10'',17.31915,19.09231,10.6,2.375,GRB,EP251220a,1,,,,,
EP251221a,1,2025-12-21 21:39:06,104.531,23.374,3',,,7,,,EP251221a,0,,,,,
EP251222a,1,2025-12-22 15:18:06,62.5014,-1.4795,10'',62.5025,-1.4792,9,0.505,,EP251222a,0,,,,,
EP251229a,1,2025-12-29 19:58:49,124.1027,37.2068,10'',,,10.5,,,EP251229a,0,,,"Jan 20, 22 25 28",x,
EP260101a,1,2026-01-01 06:35:42,46.0605,39.438,"10""",,,5.9,,,EP260101a,0,,,Jan 24 30,x,
EP260104a,1,2026-01-04 10:25:44,178.531,16.486,3',,,7,,,EP260104a,0,,,Jan 20 22 25 28,x,
EP260105a,1,2026-01-05 05:50:30,181.0158,22.7089,"10""",,,9.2,,,EP260105a,0,,,Jan 20 24,x,
EP260105b,1,2026-01-05 18:47:36,158.3695,17.6123,"10""",,,8.4,,,EP260105b,1,,,"Jan 20, 24, 27 30",x,
EP260110a,1,2026-01-10 11:58:23,199.4371,65.8476,"10""",,,7.4,,,EP260110a,0,,,"Jan 20, 22 23 25 30",x,
EP260116a,1,2026-01-16 00:27:01,113.7617,6.3244,"10""",,,8.2,,,EP260116a,0,,,"Jan 20, 22",x,
EP260119a,1,2026-01-19 00:11:49,158.1047,65.4975,"10""",158.1018,65.4956,7.5,5.47,GRB,EP260119a,0,,,,,
EP260126a,1,2026-01-26 03:25:54,103.7551,37.7053,"10""",103.7542083,37.70518889,19.3,,,EP260126a,0,,,Feb 2,,radio countarpart
EP260128a,1,2026-01-28 23:39:59,128.3233,-10.2767,"10""",,,7.5,,GRB,EP260128a,1,,, Feb 1,close to moon (feb 5),
WXT J031644+08316,0,2025-12-07 09:23:03,172.543,-39.765,3',,,6.1,,,,0,,,,,
1RXSJ052540.6+425139,0,2025-12-06 17:01:24,81.419,42.861,3',,,6.1,,,,0,,,,,
WXT J001838+115903,0,2025-12-12 20:05:17,4.658,11.984,3',,,5.1,,,,0,,,,,
WXT J030902+581637,0,2026-01-08 12:32:58,47.261,58.258,3',,,11.8,,Star,,0,,,,,
EP J0619.5+0602,0,2025-12-18 08:33:12,94.916,6.028,3',,,7.1,,Star,,0,,,,,
EP260131a,3,2026-01-31 03:31:25,149.9017,-3.3074,"10""",149.9025,-3.3073,7.2,0.937,,EP260131a,1,,,,,
EP260209a,3,2026-02-09 13:44:06,159.6858,28.3113,"10""",,,6.7,,,EP260209a,0,,,,,
EP260210a,3,2026-02-10 10:23:01,169.8297,45.3929,"10""",,,7.6,,,EP260210a,0,,,,,
EP260213a,3,2026-02-13 19:58:40,167.0083,3.9451,"10""",,,7.1,,,EP260213a,0,,,,,
EP260214a,1,2026-02-14 20:38:04,201.2305,-29.0431,"10""",,,7,,,EP260214a,1,,,,,
EP260214b,3,2026-02-14 22:03:34,191.2598,23.8533,"10""",191.2582,23.8536,7,1.208,,EP260214b,0,,,,,
EP260221a,3,2026-02-21 11:43:14,178.756,-20.9819,"10""",178.7551,-20.9827,7,,,EP260221a,0,,,,,
EP260223a,2,2026-02-23 11:20:27,92.774,56.577,3',,,7,,,EP260223a,0,,,,,
EP260224a,3,2026-02-24 17:03:42,175.2,-41.415,3',,,7,,,EP260224a,0,,,,,
EP260227a,0,2026-02-27 19:58:52,223.1002,-11.386,"10""",223.08309,-11.40664,7,2.714,GTC,EP260227a,0,,,,,
EP260302a,3,2026-03-02 23:39:22,132.9655,-65.9859,"10""",132.9739,-65.9837,7,,,EP260302a,0,,,,,
EP260306a,3,2026-03-06 01:29:20,145.9478,15.6963,"10""",145.949,15.6937,7.6,0.04,,EP260306a,0,,,,,
