target,T0,age,latest_watch,nwatch,nwatch5
EP251212a,61021.258935185186,84.34788494465465,0.0,0,0
EP251214b,61023.305810185186,82.30100994465465,0.0,0,0
EP251220a,61029.35188657408,76.25493355576327,0.0,0,0
EP251221a,61030.90215277778,74.70466735205991,45.13612568539247,4,4
EP251222a,61031.63756944444,73.96925068539713,48.30194744464825,6,3
EP251229a,61038.83251157407,66.77430855576677,37.49056916918926,26,19
EP260101a,61041.27479166666,64.33202846317727,34.657551750213315,16,16
EP260104a,61044.434537037036,61.17228309280472,34.59408801178506,24,24
EP260105a,61045.24340277778,60.36341735206224,39.643208958761534,25,19
EP260105b,61045.783055555556,59.82376457428472,34.65327619465825,22,22
EP260110a,61050.498877314814,55.107942815026036,23.667421981692314,28,28
EP260116a,61056.01876157407,49.58805855576793,18.959725222433917,36,32
EP260119a,61059.008206018516,46.59861411132442,0.0,0,0
EP260126a,61066.14298611111,39.46383401873027,18.91797753724677,10,10
EP260128a,61068.98609953704,36.62072059280035,33.39419759512384,3,0
WXT J031644+08316,61016.39100694445,89.21581318539393,0.0,1,0
1RXSJ052540.6+425139,61015.70930555555,89.89751457428792,0.0,1,0
WXT J001838+115903,61021.837002314816,83.769817815024,82.97627614835801,2,0
WXT J030902+581637,61048.522893518515,57.083926611325296,0.0,1,0
EP J0619.5+0602,61027.35638888889,78.250431240951,0.0,1,0
EP260131a,61071.14681712963,34.460003000211145,6.512848440033849,34,33
EP260209a,61080.572291666664,25.034528463176684,18.834586333541665,3,1
EP260210a,61081.432650462964,24.17416966687597,3.9501171771698864,5,5
EP260213a,61084.832407407404,20.774412722435954,0.0,0,0
EP260214a,61085.859768518516,19.747051611324423,0.0,0,0
EP260214b,61085.91914351852,19.687676611320057,0.0,0,0
EP260221a,61092.48835648148,13.118463648359466,0.0,0,0
EP260223a,61094.47253472222,11.134285407621064,0.0,0,0
EP260224a,61095.71090277778,9.895917352063407,0.0,0,0
EP260227a,61098.8325462963,6.7742738335437025,0.0,0,0
EP260302a,61101.985671296294,3.621148833546613,0.0,0,0
EP260306a,61105.06203703704,0.5447830928023905,0.0,0,0
