target,mjd,time_iso,telescope,band,file,dt
WXT J031644+08316,61017.59738425926,2025-12-08T14:20:14.000,TNOT,r,/home/liangrd/optical_data/WXT J031644+08316/TNOT/WXTJ031644+08d316_TNOT_20251208T142014_rp_10X150S_STACK_APT.fits,1.2063773148111068
1RXSJ052540.6+425139,61017.61638888889,2025-12-08T14:47:36.000,TNOT,r,/home/liangrd/optical_data/1RXSJ052540.6+425139/TNOT/RXSJ052540_6+425139_TNOT_20251208T144736_rp_7X150S_STACK_APT.fits,1.90708333333896
WXT J001838+115903,61022.63054398148,2025-12-13T15:07:59.000,TNOT,r,/home/liangrd/optical_data/WXT J001838+115903/TNOT/stack_WXT_J001838+115903_rp_wcs.fits,0.7935416666659876
WXT J001838+115903,61022.63054398148,2025-12-13T15:07:59.000,TNOT,r,/home/liangrd/optical_data/WXT J001838+115903/TNOT/WXT J001838+115903_001838+115902_FLI_rp_BIN1_300S_UTC20251213_150759_-71C_proc_wcs.fits,0.7935416666659876
EP251214a,61023.8966087963,2025-12-14T21:31:07.000,TNOT,r,/home/liangrd/optical_data/EP251214a/TNOT/EP20251214a_091646+210311_FLI_rp_BIN1_300S_UTC20251214_213107_-71C_proc_wcs.fits,0.0
EP J0619.5+0602,61028.679560185185,2025-12-19T16:18:34.000,TNOT,r,/home/liangrd/optical_data/EP J0619.5+0602/TNOT/stack_EPJ0619.5+0606_rp_wcs.fits,1.323171296295186
EP251222a,61031.71467592593,2025-12-22T17:09:08.000,TNOT,r,/home/liangrd/optical_data/EP251222a/TNOT/TNOT_EP251222a_20251222_170908.fits,0.07710648148349719
EP251222a,61032.650775462964,2025-12-23T15:37:07.000,TNOT,r,/home/liangrd/optical_data/EP251222a/TNOT/TNOT_EP251222a_20251223_153707.fits,1.0132060185205773
EP251222a,61032.650775462964,2025-12-23T15:37:07.000,TNOT,r,/home/liangrd/optical_data/EP251222a/TNOT/stack_EP251222a_rp_wcs.fits,1.0132060185205773
EP251229a,61038.92672974537,2025-12-29T22:14:29.450,LCO,w,/home/liangrd/optical_data/EP251229a/LCO/tfn1m014-fa05-20251229-0115-e91.fits.fz,0.09421817129623378
EP251229a,61038.92672974537,2025-12-29T22:14:29.450,pipeline,w,/home/liangrd/optical_data/EP251229a/pipeline/LCO/coadd_LCO_w_20251230T011202.087.fits,0.09421817129623378
EP251229a,61038.930501006944,2025-12-29T22:19:55.287,LCO,w,/home/liangrd/optical_data/EP251229a/LCO/tfn1m014-fa05-20251229-0116-e91.fits.fz,0.09798943287023576
EP251229a,61039.000456828704,2025-12-30T00:00:39.470,LCO,w,/home/liangrd/optical_data/EP251229a/LCO/tfn1m014-fa05-20251229-0149-e91.fits.fz,0.1679452546304674
EP251229a,61039.004225069446,2025-12-30T00:06:05.046,LCO,w,/home/liangrd/optical_data/EP251229a/LCO/tfn1m014-fa05-20251229-0150-e91.fits.fz,0.17171349537238711
EP251229a,61039.21722002315,2025-12-30T05:12:47.810,LCO,w,/home/liangrd/optical_data/EP251229a/LCO/tfn1m014-fa05-20251229-0247-e91.fits.fz,0.3847084490771522
EP251229a,61039.22101226852,2025-12-30T05:18:15.460,LCO,w,/home/liangrd/optical_data/EP251229a/LCO/tfn1m014-fa05-20251229-0248-e91.fits.fz,0.38850069444742985
EP251221a,61040.715682870374,2025-12-31T17:10:35.000,TNOT,r,/home/liangrd/optical_data/EP251221a/TNOT/stack_EP251221a_rp_wcs.fits,9.813530092593282
EP251221a,61040.715682870374,2025-12-31T17:10:35.000,TNOT,r,/home/liangrd/optical_data/EP251221a/TNOT/TNOT_EP251221a_20251231_171035.fits,9.813530092593282
EP260105a,61045.3148603125,2026-01-05T07:33:23.931,LCO,w,/home/liangrd/optical_data/EP260105a/LCO/elp1m008-fa16-20260104-0062-e91.fits.fz,0.07145753472286742
EP260105a,61045.3148603125,2026-01-05T07:33:23.931,pipeline,w,/home/liangrd/optical_data/EP260105a/pipeline/LCO/coadd_LCO_w_20260105T123110.785.fits,0.07145753472286742
EP260105a,61045.31863072917,2026-01-05T07:38:49.695,LCO,w,/home/liangrd/optical_data/EP260105a/LCO/elp1m008-fa16-20260104-0063-e91.fits.fz,0.07522795139084337
EP260105a,61045.72467354167,2026-01-05T17:23:31.794,LCO,w,/home/liangrd/optical_data/EP260105a/LCO/coj1m003-fa19-20260105-0124-e91.fits.fz,0.48127076389209833
EP260105a,61045.72844583333,2026-01-05T17:28:57.720,LCO,w,/home/liangrd/optical_data/EP260105a/LCO/coj1m003-fa19-20260105-0125-e91.fits.fz,0.4850430555525236
