index,obs_id,simbad_name,significance,ra,dec,category,classification,obs_time,url,ai_classification,ai_prob,comments,detnam,ep_name,exp_time,flux,id,image_url,index_in_det,light_curve_url,pos_err,r_dec,r_ra,r_sep,records,spectrum_url,src_name,tags,trigger,type,version,wxt_name
1,11916652841,EP J2319.2+0304,6.19,349.790,3.064,Unclassified,Unclassified,2025-12-17 09:50:17,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/545784/1340555,source,0.8987600207328796,,CMOS40,,1742.0,1.72e-11,1753190,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652841/CMOS40/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652841/CMOS40/1/v2,2.726,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1753190,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652841/CMOS40/1/v2,ep11916652841wxt40s1,['transient'],telemetry,source,v2,
2,06800001064,WXT J085518-175853,5.65,133.825,-17.981,Unverified,Unverified,2025-12-17 15:11:59,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546071/1341092,source,0.9710913896560668,,CMOS22,,2998.0,1.30e-11,1753625,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001064/CMOS22/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001064/CMOS22/2/v2,3.364,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1753625,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001064/CMOS22/2/v2,ep06800001064wxt22s2,['known_source'],telemetry,source,v2,
3,01709250182,WXT J084736+144504,5.60,131.900,14.751,Unverified,Unverified,2025-12-17 20:37:55,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546583/1341508,source,0.9867565631866456,,CMOS48,,3509.0,1.27e-11,1754376,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/01709250182/CMOS48/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/01709250182/CMOS48/1/v2,3.271,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1754376,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/01709250182/CMOS48/1/v2,ep01709250182wxt48s1,['known_source'],telemetry,source,v2,
4,08500000475,WXT J092625+415846,5.56,141.606,41.979,Unverified,Unverified,2025-12-18 00:39:36,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546827/1342204,source,0.9335315227508544,,CMOS25,,3100.0,1.38e-11,1755337,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000475/CMOS25/v1?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000475/CMOS25/2/v1,2.764,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1755337,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000475/CMOS25/2/v1,ep08500000475wxt25s2,['known_source'],telemetry,source,v1,
5,01709250182,WXT J090005+170408,5.54,135.027,17.093,Unverified,Unverified,2025-12-17 20:37:55,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546346/1341508,source,0.9920772314071656,,CMOS48,,3509.0,1.28e-11,1754377,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/01709250182/CMOS48/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/01709250182/CMOS48/2/v2,3.384,17.069,135.019,91.62,https://ep.bao.ac.cn/ep/data_center/ta_records/1754377,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/01709250182/CMOS48/2/v2,ep01709250182wxt48s2,['known_source'],telemetry,source,v2,
6,01709250182,WXT J055956+275627,5.42,89.985,27.941,Unverified,Unverified,2025-12-17 21:19:45,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546344/1341494,source,0.9488509297370912,,CMOS34,,3038.0,1.13e-11,1754368,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/01709250182/CMOS34/v2?index_in_det=3,3,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/01709250182/CMOS34/3/v2,2.819,27.941,89.985,0.07,https://ep.bao.ac.cn/ep/data_center/ta_records/1754368,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/01709250182/CMOS34/3/v2,ep01709250182wxt34s3,['known_source'],telemetry,source,v2,
7,08500000475,WXT J083120+054719,5.32,127.835,5.789,Unverified,Unverified,2025-12-18 00:41:28,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546822/1342186,source,0.9651623368263244,,CMOS7,,2869.743,1.53e-11,1755325,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000475/CMOS7/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000475/CMOS7/1/v1,2.757,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1755325,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000475/CMOS7/1/v1,ep08500000475wxt7s1,['known_source'],telemetry,source,v1,
8,11900516354,4U 0103-21,5.31,15.643,-21.926,Unclassified,Unclassified,2025-12-17 03:29:23,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/38412/1338345,source,0.9962683320045472,,CMOS13,,1840.0,1.98e-11,1751549,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900516354/CMOS13/v2?index_in_det=4,4,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900516354/CMOS13/4/v2,3.059,-21.882,15.675,190.93,https://ep.bao.ac.cn/ep/data_center/ta_records/1751549,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900516354/CMOS13/4/v2,ep11900516354wxt13s4,['known_source'],telemetry,source,v2,
9,06800001066,WXT J065941+083717,5.25,104.922,8.621,Unverified,Unverified,2025-12-17 18:13:14,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546167/1341368,source,0.9289403557777404,,CMOS12,,3014.0,1.20e-11,1754168,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001066/CMOS12/v3?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001066/CMOS12/1/v3,3.160,8.621,104.921,3.33,https://ep.bao.ac.cn/ep/data_center/ta_records/1754168,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001066/CMOS12/1/v3,ep06800001066wxt12s1,['known_source'],telemetry,source,v3,
10,11900516227,WXT J080028+053621,5.25,120.117,5.606,Unverified,Unverified,2025-12-17 02:24:14,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/545094/1337980,source,0.7107098698616028,,CMOS46,,1292.0,1.16e-11,1751270,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900516227/CMOS46/v1?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900516227/CMOS46/2/v1,2.617,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1751270,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900516227/CMOS46/2/v1,ep11900516227wxt46s2,['known_source'],telemetry,source,v1,
11,11900516229,WXT J064249-140607,5.21,100.706,-14.102,Unverified,Unverified,2025-12-17 05:32:07,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/545772/1340456,source,0.7984790205955505,,CMOS19,,1617.0,1.12e-11,1753149,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900516229/CMOS19/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900516229/CMOS19/1/v2,2.812,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1753149,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900516229/CMOS19/1/v2,ep11900516229wxt19s1,['known_source'],telemetry,source,v2,
12,06800001067,WXT J101852+391545,5.20,154.716,39.262,Unverified,Unverified,2025-12-17 19:55:17,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546337/1341293,source,0.9680073857307434,,CMOS46,,2327.0,1.19e-11,1753993,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001067/CMOS46/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001067/CMOS46/1/v1,3.256,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1753993,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001067/CMOS46/1/v1,ep06800001067wxt46s1,['known_source'],telemetry,source,v1,
13,11900516354,WXTJ004836+204713,5.19,12.151,20.787,Unverified,Unverified,2025-12-17 03:29:52,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/545092/1338356,source,0.799312949180603,,CMOS24,,1811.0,9.11e-12,1751555,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900516354/CMOS24/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900516354/CMOS24/1/v2,2.721,20.787,12.151,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1751555,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900516354/CMOS24/1/v2,ep11900516354wxt24s1,['known_source'],telemetry,source,v2,
14,06800001066,WXT J090449+003930,5.17,136.204,0.658,Unverified,Unverified,2025-12-17 18:19:43,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546166/1341361,source,0.9664656519889832,,CMOS5,,3056.0,1.03e-11,1754163,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001066/CMOS5/v3?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001066/CMOS5/2/v3,3.623,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1754163,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001066/CMOS5/2/v3,ep06800001066wxt5s2,['known_source'],telemetry,source,v3,
15,11900516354,WXTJ013031-275742,5.14,22.632,-27.962,Unverified,Unverified,2025-12-17 03:29:23,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/545097/1338413,source,0.8353680968284607,,CMOS40,,1840.0,1.06e-11,1751577,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900516354/CMOS40/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900516354/CMOS40/2/v2,2.511,-27.962,22.632,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1751577,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900516354/CMOS40/2/v2,ep11900516354wxt40s2,['known_source'],telemetry,source,v2,
16,06800001066,WXT J110952+150339,5.13,167.468,15.061,Unverified,Unverified,2025-12-17 18:27:26,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546174/1341397,source,0.9648458361625672,,CMOS39,,2997.0,9.95e-12,1754220,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001066/CMOS39/v3?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001066/CMOS39/1/v3,3.116,15.061,167.468,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1754220,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001066/CMOS39/1/v3,ep06800001066wxt39s1,['known_source'],telemetry,source,v3,
17,08500000474,WXT J080746-060305,5.12,121.943,-6.052,Unverified,Unverified,2025-12-17 23:06:43,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546972/1342966,source,0.9066397547721864,,CMOS4,,2981.0,1.12e-11,1756128,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000474/CMOS4/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000474/CMOS4/1/v2,3.047,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1756128,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000474/CMOS4/1/v2,ep08500000474wxt4s1,['known_source'],telemetry,source,v2,
18,06800001065,WXT J101046+255955,5.12,152.692,25.999,Unverified,Unverified,2025-12-17 16:45:50,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546079/1341159,source,0.9142332077026368,,CMOS41,,2986.0,6.00e-12,1753661,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001065/CMOS41/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001065/CMOS41/1/v2,2.491,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1753661,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001065/CMOS41/1/v2,ep06800001065wxt41s1,['known_source'],telemetry,source,v2,
