ai_classification,ai_prob,category,classification,comments,dec,detnam,ep_name,exp_time,flux,id,image_url,index_in_det,light_curve_url,obs_id,obs_time,pos_err,r_dec,r_ra,r_sep,ra,records,significance,simbad_name,spectrum_url,src_name,tags,trigger,type,url,version,wxt_name
source,0.998200535774231,Unclassified,Unclassified,,-21.919,CMOS43,,1649.0,3.82e-11,1715385,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502402/CMOS43/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502402/CMOS43/1/v1,11900502402,2025-12-05 02:12:20,2.696,-21.882,15.675,135.48,15.668,https://ep.bao.ac.cn/ep/data_center/ta_records/1715385,7.54,4U 0103-21,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502402/CMOS43/1/v1,ep11900502402wxt43s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/38412/1306345,v1,
arm,0.9990063309669496,Unverified,Unverified,,20.452,CMOS34,,9114.0,7.74e-12,1717046,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001035/CMOS34/v3?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001035/CMOS34/2/v3,06800001035,2025-12-05 12:00:23,2.872,20.501,44.547,177.12,44.555,https://ep.bao.ac.cn/ep/data_center/ta_records/1717046,5.86,WXT J025813+202707,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001035/CMOS34/2/v3,ep06800001035wxt34s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527624/1307729,v3,
source,0.9851860404014589,Unverified,Unverified,,-2.040,CMOS44,,3049.0,1.52e-11,1716488,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001034/CMOS44/v1?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001034/CMOS44/2/v1,06800001034,2025-12-05 08:48:46,3.316,,,,58.227,https://ep.bao.ac.cn/ep/data_center/ta_records/1716488,5.75,WXT J035254-020223,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001034/CMOS44/2/v1,ep06800001034wxt44s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527349/1307309,v1,
source,0.8275459408760071,Unverified,Unverified,,15.584,CMOS10,,2321.0,1.41e-11,1715569,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001033/CMOS10/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001033/CMOS10/1/v1,06800001033,2025-12-05 00:52:00,3.208,,,,61.819,https://ep.bao.ac.cn/ep/data_center/ta_records/1715569,5.64,WXT J040717+153502,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001033/CMOS10/1/v1,ep06800001033wxt10s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526848/1306532,v1,
source,0.8311378955841064,Unverified,Unverified,,15.501,CMOS10,,913.0,2.21e-11,1715372,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502402/CMOS10/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502402/CMOS10/1/v1,11900502402,2025-12-05 02:24:36,2.853,,,,50.828,https://ep.bao.ac.cn/ep/data_center/ta_records/1715372,5.63,WXT J032319+153002,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502402/CMOS10/1/v1,ep11900502402wxt10s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526775/1306312,v1,
source,0.9528989791870116,Unverified,Unverified,,30.891,CMOS1,,1589.0,2.12e-11,1717263,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652653/CMOS1/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652653/CMOS1/1/v1,11916652653,2025-12-05 17:30:34,2.826,,,,140.040,https://ep.bao.ac.cn/ep/data_center/ta_records/1717263,5.56,WXT J092010+305328,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652653/CMOS1/1/v1,ep11916652653wxt1s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527736/1307936,v1,
source,0.8790110349655151,Unverified,Unverified,,20.873,CMOS24,,1680.0,1.53e-11,1715375,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502402/CMOS24/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502402/CMOS24/1/v1,11900502402,2025-12-05 02:11:49,2.818,,,,352.270,https://ep.bao.ac.cn/ep/data_center/ta_records/1715375,5.53,WXT J232905+205223,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502402/CMOS24/1/v1,ep11900502402wxt24s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526778/1306326,v1,
source,0.7807714939117432,Unverified,Unverified,,-5.149,CMOS21,,1223.0,1.37e-11,1715799,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/13600502785/CMOS21/v1?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/13600502785/CMOS21/2/v1,13600502785,2025-12-05 04:16:34,2.705,,,,57.502,https://ep.bao.ac.cn/ep/data_center/ta_records/1715799,5.51,WXT J035000-050857,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/13600502785/CMOS21/2/v1,ep13600502785wxt21s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526973/1306748,v1,
source,0.9998799562454224,Unverified,Unverified,,38.079,CMOS30,,8772.0,6.72e-12,1717036,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001035/CMOS30/v3?index_in_det=3,3,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001035/CMOS30/3/v3,06800001035,2025-12-05 12:03:55,2.892,38.097,61.970,99.61,61.997,https://ep.bao.ac.cn/ep/data_center/ta_records/1717036,5.48,WXT J040753+380549,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001035/CMOS30/3/v3,ep06800001035wxt30s3,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/263084/1307725,v3,
source,0.8633575439453125,Unverified,Unverified,,28.825,CMOS32,,1293.0,1.42e-11,1716240,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900503041/CMOS32/v1?index_in_det=3,3,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900503041/CMOS32/3/v1,11900503041,2025-12-05 07:28:21,2.931,,,,48.659,https://ep.bao.ac.cn/ep/data_center/ta_records/1716240,5.48,WXT J031438+284929,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900503041/CMOS32/3/v1,ep11900503041wxt32s3,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527214/1307083,v1,
